epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3301,1.84935,2.86299,1.59093,0.02793,0.92699,0.47835,0.18876,1.72412,2.52681,2.09257,0.00012,0.00012,0.00012
2,39.2223,1.71822,1.95118,1.39588,0.7499,0.28525,0.53625,0.22569,1.59043,2.26239,1.86616,0.000254852,0.000254852,0.000254852
3,62.3268,1.73258,1.4278,1.39496,0.57395,0.34292,0.45021,0.18853,1.79202,2.1383,2.08186,0.00038416,0.00038416,0.00038416
4,85.1652,1.69242,1.42801,1.38959,0.65466,0.32743,0.48436,0.21728,1.78298,2.17326,2.10109,0.000507924,0.000507924,0.000507924
5,109.948,1.57339,1.29961,1.38698,0.5914,0.5531,0.57406,0.22991,1.89407,1.81695,2.23218,0.000626144,0.000626144,0.000626144
6,138.346,1.64287,1.33198,1.39758,0.58062,0.48673,0.51917,0.20433,1.96463,1.85364,2.32175,0.00073882,0.00073882,0.00073882
7,177.723,1.65708,1.26646,1.34337,0.45412,0.44912,0.40829,0.15696,1.94358,1.83026,2.31163,0.000845952,0.000845952,0.000845952
8,211.409,1.62307,1.33301,1.3894,0.4166,0.29227,0.28007,0.1109,1.95584,2.04041,2.28672,0.00094754,0.00094754,0.00094754
9,246.481,1.52853,1.24152,1.36199,0.44839,0.37168,0.3101,0.12585,1.94324,1.96459,2.33187,0.00104358,0.00104358,0.00104358
10,277.876,1.5518,1.26489,1.33826,0.4656,0.38274,0.34841,0.12939,1.92127,2.03832,2.41023,0.00113408,0.00113408,0.00113408
11,306.576,1.58067,1.25153,1.36981,0.55983,0.39823,0.37114,0.14978,1.92589,1.88351,2.28924,0.00121904,0.00121904,0.00121904
12,344.021,1.48681,1.21607,1.32649,0.66128,0.36726,0.36994,0.15023,1.94247,1.78959,2.37236,0.00129845,0.00129845,0.00129845
